name,Trader,Smart contract,ccy1,ccy2,bal_total,pnl_daily,pnl_weekly,pnl_monthly,bal_ccy1,bal_ccy2,bal_total_ccy,...,pnl_weekly_pct,pnl_monthly_pct,usd_pricing,pnl_daily_str,pnl_daily_num,pnl_weekly_str,pnl_weekly_num,pnl_monthly_str,pnl_monthly_num,ccy1_ccy2_price
Bnb-Busdt,0x021d6Da24d42266f94e71bF74eF8C25F30B6AB20,0x0c0267AccCaecDB2a07a7E29f61767DABadD9195,Bnb,Busdt,1134530.69,24h: -2.72% (-31782.89 busdt),1wk: -5.73% (-68982.7 busdt),1mo: +2.75% (30470.4 busdt),1954.24,320.95,busdt,...,-0.0573,0.0275,TRUE,-31782.89 busdt,-31782.89,-68982.7 busdt,-68982.70,30470.4 busdt,30470.4,580.4
Bsc-Btcb-Busdt-Mdex,0x089f3e558aBdBc81E7b917cc855Bcef86DF3d9Cf,0x809299B9fB7d8Dfd6080E0398968607754741ed0,Btcb,Busdt,866017.02,24h: -1.12% (-9895.09 busdt),1wk: -3.94% (-35614.09 busdt),1mo: -8.54% (-80965.04 busdt),0.19,856993.54,busdt,...,-0.0394,-0.0854,TRUE,-9895.09 busdt,-9895.09,-35614.09 busdt,-35614.09,-80965.04 busdt,-80965.04,47492
Hbch-Husdt-Mdex,0x0f506f96238E5A010EE16729253856CF00eF89eD,0x87dF342BE6DabfB3DE5BC8d73840677CFcD6F275,Hbch,Husdt,52652.92,24h: -1.35% (-724.87 husdt),1wk: -18.06% (-11608.25 husdt),1mo: -23.85% (-16499.43 husdt),61.92,24518.02,husdt,...,-0.1806,-0.2385,TRUE,-724.87 husdt,-724.87,-11608.25 husdt,-11608.25,-16499.43 husdt,-16499.43,454.4
Bsc-Bnb-Busdt-Biswap,0x15dd5A76C0917Cf7454D8c22F7E852C192FD59b1,0x3a6d8cA21D1CF76F653A67577FA0D27453350dD8,Bnb,Busdt,494838.28,24h: +15.27% (65582.24 busdt),1wk: +8.94% (40646.84 busdt),1mo: +28.78% (110592.8 busdt),830.57,13704.32,busdt,...,0.0894,0.2878,TRUE,65582.24 busdt,65582.24,40646.84 busdt,40646.84,110592.8 busdt,110592.8,579.3
Ftm-Btc-Eth-Spooky,0x170671DE59574CbFFB4F33C0296E103f89B93465,0xCe92E047B9b1E2d6B33d4556e4b2cDf0a6305f79,Btc,Eth,1.82,24h: +2.24% (0.04 eth),1wk: +5.2% (0.09 eth),NaN,0.15,0,eth,...,0.052,NaN,FALSE,0.04 eth,0.04,0.09 eth,0.09,NaN,NaN,12.1
Ftm-Ftm-Btc-Spooky,0x1DEC44FdF2F976665D6355C938235663763ef995,0x8d29594454e73be3c2d9FB08bFd6Df40d78606a6,Ftm,Btc,0.24,24h: -4.62% (-0.01 btc),1wk: +3.39% (0.0 btc),NaN,7.44,0.24,btc,...,0.0339,NaN,FALSE,-0.01 btc,-0.01,0.0 btc,0,NaN,NaN,0
Ftm-Ftm-Usdc-Spooky,0x1EbD91BA7727EB37218e02bdBad69c09C0080b35,0x0b9D795FAd8E596CbD2D3A0b879798634B083303,Ftm,Usdc,263035.75,24h: -9.59% (-27906.72 usdc),1wk: -19.73% (-64692.03 usdc),1mo: -22.91% (-78174.43 usdc),184451.12,2.24,usdc,...,-0.1973,-0.2291,TRUE,-27906.72 usdc,-27906.72,-64692.03 usdc,-64692.03,-78174.43 usdc,-78174.43,1.4
Heth-Husdt-Mdex,0x37BA53cd86F06f97d2d648c04865a7fe75f992d5,0xfE21674BEb280CF0577FD070f70C45E7064fB040,Heth,Husdt,1045737.86,24h: -4.97% (-54748.15 husdt),1wk: -34.0% (-538842.07 husdt),1mo: -49.07% (-1007570.41 husdt),218.51,143643.06,husdt,...,-0.34,-0.4907,TRUE,-54748.15 husdt,-54748.15,-538842.07 husdt,-538842.07,-1007570.41 husdt,-1007570.41,4128.4
Bsc-Bnb-Busd-Mdex,0x40140985275caa9BaB2E0672382247c124541559,0x9fC1b7c081d4C0736424E13c92Fe9B99936100B7,Bnb,Busd,364157.07,24h: -3.53% (-13326.26 busd),1wk: -6.13% (-23819.98 busd),1mo: -10.92% (-44662.02 busd),592.47,20839.85,busd,...,-0.0613,-0.1092,TRUE,-13326.26 busd,-13326.26,-23819.98 busd,-23819.98,-44662.02 busd,-44662.02,579.5
Bsc-Btcb-Eth-Biswap,0x41eB932Ee22cEc0E8D259FCC62dA26055B4005De,0x3a6d8cA21D1CF76F653A67577FA0D27453350dD8,Btcb,Eth,72.87,24h: +0.39% (0.29 eth),1wk: -3.2% (-2.4 eth),1mo: -3.84% (-2.9 eth),6.19,0.47,eth,...,-0.032,-0.0384,FALSE,0.29 eth,0.29,-2.4 eth,-2.40,-2.9 eth,-2.90,11.7
Ftm-Ftm-Usdt-Spooky,0x521e6Fa0Ea99ad3eA6a29c3d8a816Ec586E194b4,0xeFC626eace53B7B15ab4A322aa97d1fD7118d2ec,Ftm,Usdt,383120.07,24h: -8.16% (-34060.64 usdt),1wk: -1.24% (-4849.58 usdt),1mo: +53.2% (133050.52 usdt),184037.89,120875.36,usdt,...,-0.0124,0.532,TRUE,-34060.64 usdt,-34060.64,-4849.58 usdt,-4849.58,133050.52 usdt,133050.52,1.4
Matic-Btc-Eth,0x528d7eE68a6302f29937a1a7215Ce27468B06F3a,,Btc,Eth,0,24h: -nan% (0 eth),1wk: -nan% (0 eth),1mo: -nan% (0 eth),0,0,eth,...,NaN,NaN,FALSE,0 eth,0,0 eth,0,0 eth,0,NaN
Huni-Husdt-Mdex,0x58D78F2C5cDA4915f1303b50A46ADCac8611f0D5,0xf0c6b18a44a7fCAD60B7A4f7985999f1dDa5b0FB,Huni,Husdt,11842.37,24h: -5.58% (-700.5 husdt),1wk: -31.54% (-5458.37 husdt),1mo: -30.23% (-5131.28 husdt),217.11,8358.47,husdt,...,-0.3154,-0.3023,TRUE,-700.5 husdt,-700.50,-5458.37 husdt,-5458.37,-5131.28 husdt,-5131.28,16
Ftm-Ftm-Bnb-Spooky,0x59BCB13d00aF3CB111d7fB1dbA058374Bf95aE4c,0xA17489E517d6A50FBDFBE9865D7CcC4E4e5E9D2a,Ftm,Bnb,127.9,24h: -0.31% (-0.4 bnb),1wk: -2.02% (-2.64 bnb),NaN,15.53,127.86,bnb,...,-0.0202,NaN,FALSE,-0.4 bnb,-0.40,-2.64 bnb,-2.64,NaN,NaN,0
Bsc-Btcb-Eth-Mdex,0x59c36C71d71eA50222828a6446538a5AB4E007f1,0x7a381113b7dfAACc4b6eF19f646b28b455121212,Btcb,Eth,151.53,24h: +1.69% (2.53 eth),1wk: -3.78% (-5.96 eth),1mo: -10.64% (-18.05 eth),8.3,54.67,eth,...,-0.0378,-0.1064,FALSE,2.53 eth,2.53,-5.96 eth,-5.96,-18.05 eth,-18.05,11.7
Bsc-Eth-Busdt-Mdex,0x63C53F4173738bF1F86e24C98301628DC1C42193,0xC16a2054D4125E1aE62acA621f8a8794483b81A3,Eth,Busdt,1354958.07,24h: -4.22% (-59837.93 busdt),1wk: -6.01% (-86642.06 busdt),1mo: -3.4% (-47806.04 busdt),222.87,434344.41,busdt,...,-0.0601,-0.034,TRUE,-59837.93 busdt,-59837.93,-86642.06 busdt,-86642.06,-47806.04 busdt,-47806.04,4130.7
Bsc-Bnb-Busdt-Mdex,0x6486D95f43d2947EB76C4ed790D71f805Ba528c4,0x8B3f1A9eBb537e219cC5D9454db516F1430f7013,Bnb,Busdt,1125038.83,24h: -3.56% (-41557.8 busdt),1wk: -5.18% (-61539.52 busdt),1mo: -7.36% (-89423.52 busdt),1938.59,404.48,busdt,...,-0.0518,-0.0736,TRUE,-41557.8 busdt,-41557.80,-61539.52 busdt,-61539.52,-89423.52 busdt,-89423.52,580.1
Ftm-Ftm-Dai-Spooky,0x691eBc1C728C7bcad647DA244AF140555eA4B08A,0xbb67E74A16A1efC8e638c3e5740624D81b2D090e,Ftm,Dai,130488.91,24h: -9.88% (-14306.1 dai),1wk: -18.04% (-28729.54 dai),1mo: -21.73% (-36231.44 dai),91517.37,26.62,dai,...,-0.1804,-0.2173,TRUE,-14306.1 dai,-14306.10,-28729.54 dai,-28729.54,-36231.44 dai,-36231.44,1.4
Bsc-Btcb-Busdt-Biswap,0x6C1d4C2CA4634bfe2038734b31756b1cf61a96B8,0x3a6d8cA21D1CF76F653A67577FA0D27453350dD8,Btcb,Busdt,439793.95,24h: -3.17% (-14435.95 busdt),1wk: -13.42% (-68194.2 busdt),1mo: -15.53% (-80867.19 busdt),8.49,29896.25,busdt,...,-0.1342,-0.1553,TRUE,-14435.95 busdt,-14435.95,-68194.2 busdt,-68194.20,-80867.19 busdt,-80867.19,48280.1
Ftm-Ftm-Eth-Spooky,0x6d360ed993Ed198f8F67c784CAB1CDEaF21DB255,0x153c9509b7Ac20d73bA664E41C4557F9ED5C2f54,Ftm,Eth,37.28,24h: -4.38% (-1.71 eth),1wk: -8.78% (-3.58 eth),1mo: +46.36% (11.81 eth),107437.2,0.15,eth,...,-0.0878,0.4636,FALSE,-1.71 eth,-1.71,-3.58 eth,-3.58,11.81 eth,11.81,0
Hbtc-Husdt-Mdex,0x81Fe8F30c8539CcDcE553E2a276c3Da5b060c3C7,0x812D9D09BDbA9C640013c3Ba0D2FD69c025C5D64,Hbtc,Husdt,987248.01,24h: -2.39% (-24210.53 husdt),1wk: -3.0% (-30568.17 husdt),1mo: -6.35% (-67014.06 husdt),11.89,413310.01,husdt,...,-0.03,-0.0635,TRUE,-24210.53 husdt,-24210.53,-30568.17 husdt,-30568.17,-67014.06 husdt,-67014.06,48270.6
Matic-Eth-Usdc,0x929A5179ad80C29caf26B1a0046042b80Affe9Ec,0x8B3B227dbB41471fDCDC2177AF8d0c53e355917E,Eth,Usdc,730037.41,24h: -4.7% (-36069.97 usdc),1wk: -1.89% (-14125.05 usdc),1mo: -8.54% (-68244.52 usdc),14.04,672151.07,usdc,...,-0.0189,-0.0854,TRUE,-36069.97 usdc,-36069.97,-14125.05 usdc,-14125.05,-68244.52 usdc,-68244.52,4123
Bnb-Busd,0x9f56820fB0e2BB2D3fBe01517E0aA45923879EB2,0xb3E368A7dA56fEb4C9cCf763308748bbC8A3C43E,Bnb,Busd,1654662.59,24h: -3.96% (-68358.56 busd),1wk: -4.32% (-74784.12 busd),1mo: +2.89% (46516.42 busd),2854.95,296.56,busd,...,-0.0432,0.0289,TRUE,-68358.56 busd,-68358.56,-74784.12 busd,-74784.12,46516.42 busd,46516.42,579.5
