name,ccy1,ccy2,bal_total,pnl_daily,pnl_weekly,pnl_monthly,bal_ccy1,bal_ccy2,bal_total_ccy,pnl_daily_pct,pnl_weekly_pct,pnl_monthly_pct,usd_pricing,pnl_daily_str,pnl_daily_num,pnl_weekly_str,pnl_weekly_num,pnl_monthly_str,pnl_monthly_num,ccy1_ccy2_price,Trader,Smart contract,Chain,bal_small_coin,bal_in,coin,exchange
Bnb-Btcb,Bnb,Btcb,13.3,24h: -2.39% (-0.32 btcb),1wk: -3.91% (-0.54 btcb),1mo: +17.34% (1.96 btcb),1053.84,1.57,btcb,-0.0239,-0.0391,0.1734,FALSE,-0.32 btcb,-0.32,-0.54 btcb,-0.54,1.96 btcb,1.96,0,0xC562eD670F5BE8db7353199E326a4b5655554d41,0xF0Ee3F3E8A24Bc977D1fb5df4F0D6f4003e6585D,BSC,0,sc,,Pancake
Bnb-Busd,Bnb,Busd,1524018.19,24h: -4.43% (-70722.89 busd),1wk: -3.94% (-62559.95 busd),1mo: -5.14% (-82610.62 busd),1953.6,502911.73,busd,-0.0443,-0.0394,-0.0514,TRUE,-70722.89 busd,-70722.89,-62559.95 busd,-62559.95,-82610.62 busd,-82610.62,522.7,0x9f56820fB0e2BB2D3fBe01517E0aA45923879EB2,0xb3E368A7dA56fEb4C9cCf763308748bbC8A3C43E,BSC,0,sc,,Pancake
Bnb-Busdt,Bnb,Busdt,1035750.47,24h: -5.69% (-62525.13 busdt),1wk: -6.33% (-70108.96 busdt),1mo: -8.65% (-98159.92 busdt),1945.86,17990.29,busdt,-0.0569,-0.0633,-0.0865,TRUE,-62525.13 busdt,-62525.13,-70108.96 busdt,-70108.96,-98159.92 busdt,-98159.92,523,0x021d6Da24d42266f94e71bF74eF8C25F30B6AB20,0x0c0267AccCaecDB2a07a7E29f61767DABadD9195,BSC,0,sc,,Pancake
Bnb-Cake,Bnb,Cake,3729.89,24h: +0% (0 cake),1wk: +0% (0 cake),1mo: +0% (0 cake),63.77,3988.13,cake,0,0,0,FALSE,0 cake,0,0 cake,0,0 cake,0,-4,,,BSC,0,sc,,Pancake
Bsc-Bnb-Busd-Biswap,Bnb,Busd,719777.83,24h: -3.67% (-27485.41 busd),1wk: +48.43% (234866.71 busd),1mo: +59.96% (269808.27 busd),1041.22,174253.96,busd,-0.0367,0.4843,0.5996,TRUE,-27485.41 busd,-27485.41,234866.71 busd,234866.71,269808.27 busd,269808.27,523.9,0xaa209927bb214ab7Df9bA0368da81B091d327307,0x3a6d8cA21D1CF76F653A67577FA0D27453350dD8,BSC,1,a,BSW;BSC-USD,Biswap
Bsc-Bnb-Busd-Mdex,Bnb,Busd,104493.19,24h: -6.08% (-6764.7 busd),1wk: -71.56% (-263030.37 busd),1mo: -72.16% (-270855.42 busd),200,0,busd,-0.0608,-0.7156,-0.7216,TRUE,-6764.7 busd,-6764.7,-263030.37 busd,-263030.37,-270855.42 busd,-270855.42,522.5,0x40140985275caa9BaB2E0672382247c124541559,0x9fC1b7c081d4C0736424E13c92Fe9B99936100B7,BSC,0,sc,,Mdex
Bsc-Bnb-Busdt-Biswap,Bnb,Busdt,707873.62,24h: -6.2% (-46804.58 busdt),1wk: +69.88% (291201.06 busdt),1mo: +82.16% (319288.77 busdt),1320.07,17102.21,busdt,-0.062,0.6988,0.8216,TRUE,-46804.58 busdt,-46804.58,291201.06 busdt,291201.06,319288.77 busdt,319288.77,523.3,0x15dd5A76C0917Cf7454D8c22F7E852C192FD59b1,0x3a6d8cA21D1CF76F653A67577FA0D27453350dD8,BSC,1,a,BSW,Biswap
Bsc-Bnb-Busdt-Mdex,Bnb,Busdt,102367.38,24h: -6.15% (-6713.16 busdt),1wk: -90.98% (-1033322.59 busdt),1mo: -90.93% (-1026275.16 busdt),195.62,23.96,busdt,-0.0615,-0.9098,-0.9093,TRUE,-6713.16 busdt,-6713.16,-1033322.59 busdt,-1033322.59,-1026275.16 busdt,-1026275.16,523.2,0x6486D95f43d2947EB76C4ed790D71f805Ba528c4,0x4EEEFb1e2BB97C2420E5741A634e7d7f7a7686A4,BSC,0,sc,,Mdex
Bsc-Btcb-Busdt-Biswap,Btcb,Busdt,426927.29,24h: -3.3% (-14588.41 busdt),1wk: -15.99% (-81273.08 busdt),1mo: -19.5% (-103421.01 busdt),7.73,63767.83,busdt,-0.033,-0.1599,-0.195,TRUE,-14588.41 busdt,-14588.41,-81273.08 busdt,-81273.08,-103421.01 busdt,-103421.01,46980.5,0x6C1d4C2CA4634bfe2038734b31756b1cf61a96B8,0x3a6d8cA21D1CF76F653A67577FA0D27453350dD8,BSC,1,a,BSW,Biswap
Bsc-Btcb-Busdt-Mdex,Btcb,Busdt,476635.19,24h: -0.61% (-2946.94 busdt),1wk: -46.47% (-413813.64 busdt),1mo: -49.71% (-471231.37 busdt),1.64,400000,busdt,-0.0061,-0.4647,-0.4971,TRUE,-2946.94 busdt,-2946.94,-413813.64 busdt,-413813.64,-471231.37 busdt,-471231.37,46728.8,0x089f3e558aBdBc81E7b917cc855Bcef86DF3d9Cf,0x809299B9fB7d8Dfd6080E0398968607754741ed0,BSC,0,sc,,Mdex
